query_mode,threads,brute_ms,query_ms,query_us,nodes_mean,speedup_threads,speedup_brute
serial,1,1009.619,6247.456,31237.3,120284,1.00,0.16
serial,2,548.605,3338.236,16691.2,120284,1.87,0.16
serial,4,367.116,1452.559,7262.8,120284,4.30,0.25
serial,8,298.265,680.576,3402.9,120284,9.18,0.44
serial,16,325.442,672.184,3360.9,120284,9.29,0.48
local-heaps,1,999.047,6408.375,32041.9,120285,1.00,0.16
local-heaps,2,799.985,9494.288,47471.4,241515,0.67,0.08
local-heaps,4,458.386,6411.936,32059.7,313737,1.00,0.07
local-heaps,8,289.688,6164.899,30824.5,349737,1.04,0.05
local-heaps,16,308.759,4653.118,23265.6,372426,1.38,0.07
atomic-global,1,1103.214,6437.118,32185.6,120285,1.00,0.17
atomic-global,2,693.066,3617.641,18088.2,122234,1.78,0.19
atomic-global,4,412.294,2326.871,11634.4,123927,2.77,0.18
atomic-global,8,329.922,2299.381,11496.9,125844,2.80,0.14
atomic-global,16,379.431,1961.925,9809.6,133510,3.28,0.19
