mode,threads,brute_ms,lsh_ms,speedup_brute,speedup_lsh,recall
queries,1,25980.363,2301.490,1.00,1.00,0.5064
queries,2,13084.187,1182.741,1.99,1.95,0.5064
queries,4,6607.480,633.759,3.93,3.63,0.5064
queries,8,4922.534,479.429,5.28,4.80,0.5064
queries_dyn,1,26047.246,2302.866,1.00,1.00,0.5064
queries_dyn,2,13060.832,1159.434,1.99,1.99,0.5064
queries_dyn,4,6659.599,608.517,3.91,3.78,0.5064
queries_dyn,8,5107.550,449.990,5.10,5.12,0.5064
tables,1,26061.940,2262.664,1.00,1.00,0.5064
tables,2,13066.439,2317.899,1.99,0.98,0.5064
tables,4,6677.691,2316.488,3.90,0.98,0.5064
tables,8,4842.096,2434.415,5.38,0.93,0.5064
candidates,1,26030.557,2269.704,1.00,1.00,0.5064
candidates,2,13072.425,1217.961,1.99,1.86,0.5064
candidates,4,6695.735,702.436,3.89,3.23,0.5064
candidates,8,4922.222,703.720,5.29,3.23,0.5064
features,1,26085.815,2315.638,1.00,1.00,0.5064
features,2,13072.625,3295.080,2.00,0.70,0.5064
features,4,6694.230,3225.084,3.90,0.72,0.5064
features,8,5145.828,6450.366,5.07,0.36,0.5064
