build_mode,query_mode,n,d,seed,k,iters,threads,batch_ms,query_mean_us,nodes_mean,nodes_std
-,-,400000,25,42,10,200,1,1005.88,5029.38,400000,0
-,-,400000,25,42,10,200,2,598.055,2990.27,400000,0
-,-,400000,25,42,10,200,4,348.222,1741.11,400000,0
-,-,400000,25,42,10,200,8,329.417,1647.09,400000,0
-,-,400000,25,42,10,200,16,291.262,1456.31,400000,0
-,-,400000,50,42,10,200,1,1692.39,8461.93,400000,0
-,-,400000,50,42,10,200,2,1056.55,5282.75,400000,0
-,-,400000,50,42,10,200,4,698.916,3494.58,400000,0
-,-,400000,50,42,10,200,8,485.634,2428.17,400000,0
-,-,400000,50,42,10,200,16,467.021,2335.11,400000,0
-,-,400000,100,42,10,200,1,4316.92,21584.6,400000,0
-,-,400000,100,42,10,200,2,2454.65,12273.2,400000,0
-,-,400000,100,42,10,200,4,1742.28,8711.42,400000,0
-,-,400000,100,42,10,200,8,1139.86,5699.3,400000,0
-,-,400000,100,42,10,200,16,865.859,4329.3,400000,0
