build_mode,n,d,seed,threads,build_ms
serial,400000,25,42,1,200.961
serial,400000,25,42,2,209.556
serial,400000,25,42,4,198.157
serial,400000,25,42,8,214.111
serial,400000,25,42,16,206.611
parallel-tasks,400000,25,42,1,206.115
parallel-tasks,400000,25,42,2,261.748
parallel-tasks,400000,25,42,4,438.689
parallel-tasks,400000,25,42,8,624.334
parallel-tasks,400000,25,42,16,1357.66
parallel-flat,400000,25,42,1,212.447
parallel-flat,400000,25,42,2,152.769
parallel-flat,400000,25,42,4,139.562
parallel-flat,400000,25,42,8,136.076
parallel-flat,400000,25,42,16,145.048
serial,400000,25,42,1,199.534
serial,400000,25,42,2,208.053
serial,400000,25,42,4,220.674
serial,400000,25,42,8,218.218
serial,400000,25,42,16,218.556
serial,400000,25,42,1,222.194
serial,400000,25,42,2,220.406
serial,400000,25,42,4,210.536
serial,400000,25,42,8,235.656
serial,400000,25,42,16,199.773
serial,400000,25,42,1,205.058
serial,400000,25,42,2,212.205
serial,400000,25,42,4,216.841
serial,400000,25,42,8,205.731
serial,400000,25,42,16,201.869
serial,400000,50,42,1,285.375
serial,400000,50,42,2,296.038
serial,400000,50,42,4,284.632
serial,400000,50,42,8,304.81
serial,400000,50,42,16,289.121
parallel-tasks,400000,50,42,1,286.932
parallel-tasks,400000,50,42,2,379.913
parallel-tasks,400000,50,42,4,645.475
parallel-tasks,400000,50,42,8,886.366
parallel-tasks,400000,50,42,16,1856.1
parallel-flat,400000,50,42,1,289.574
parallel-flat,400000,50,42,2,199.099
parallel-flat,400000,50,42,4,148.743
parallel-flat,400000,50,42,8,132.112
parallel-flat,400000,50,42,16,150.74
serial,400000,50,42,1,295.238
serial,400000,50,42,2,284.764
serial,400000,50,42,4,292.888
serial,400000,50,42,8,325.224
serial,400000,50,42,16,284.74
serial,400000,50,42,1,326.307
serial,400000,50,42,2,281.738
serial,400000,50,42,4,325.109
serial,400000,50,42,8,301.653
serial,400000,50,42,16,318.785
serial,400000,50,42,1,282.056
serial,400000,50,42,2,324.142
serial,400000,50,42,4,288.89
serial,400000,50,42,8,284.321
serial,400000,50,42,16,294.523
serial,400000,100,42,1,277.666
serial,400000,100,42,2,279.571
serial,400000,100,42,4,289.429
serial,400000,100,42,8,286.313
serial,400000,100,42,16,279.54
parallel-tasks,400000,100,42,1,283.021
parallel-tasks,400000,100,42,2,501.279
parallel-tasks,400000,100,42,4,762.221
parallel-tasks,400000,100,42,8,1368.39
parallel-tasks,400000,100,42,16,2662.97
parallel-flat,400000,100,42,1,280.816
parallel-flat,400000,100,42,2,186.276
parallel-flat,400000,100,42,4,131.663
parallel-flat,400000,100,42,8,113.181
parallel-flat,400000,100,42,16,126.316
serial,400000,100,42,1,291.471
serial,400000,100,42,2,280.886
serial,400000,100,42,4,281.952
serial,400000,100,42,8,278.34
serial,400000,100,42,16,278.528
serial,400000,100,42,1,278.971
serial,400000,100,42,2,283.493
serial,400000,100,42,4,290.47
serial,400000,100,42,8,291.561
serial,400000,100,42,16,278.662
serial,400000,100,42,1,282.235
serial,400000,100,42,2,285.865
serial,400000,100,42,4,280.476
serial,400000,100,42,8,280.026
serial,400000,100,42,16,283.616
