build_mode,query_mode,n,d,seed,k,iters,threads,batch_ms,query_mean_us,nodes_mean,nodes_std
serial,serial,400000,25,42,10,1,1,0.700493,700.493,7313,0
serial,serial,400000,25,42,10,1,2,1.15784,1157.84,7313,0
serial,serial,400000,25,42,10,1,4,1.13587,1135.87,7313,0
serial,serial,400000,25,42,10,1,8,1.21671,1216.71,7313,0
serial,serial,400000,25,42,10,1,16,1.59271,1592.71,7313,0
parallel-tasks,serial,400000,25,42,10,1,1,0.66699,666.99,7313,0
parallel-tasks,serial,400000,25,42,10,1,2,2.28753,2287.53,7313,0
parallel-tasks,serial,400000,25,42,10,1,4,1.83798,1837.98,7313,0
parallel-tasks,serial,400000,25,42,10,1,8,1.73784,1737.84,7313,0
parallel-tasks,serial,400000,25,42,10,1,16,2.48487,2484.87,7313,0
parallel-flat,serial,400000,25,42,10,1,1,0.558339,558.339,7313,0
parallel-flat,serial,400000,25,42,10,1,2,0.9975,997.5,7313,0
parallel-flat,serial,400000,25,42,10,1,4,0.960841,960.841,7313,0
parallel-flat,serial,400000,25,42,10,1,8,0.919931,919.931,7313,0
parallel-flat,serial,400000,25,42,10,1,16,2.01015,2010.15,7313,0
serial,serial,400000,25,42,10,200,1,6171.02,30855.1,122209,153622
serial,serial,400000,25,42,10,200,2,3131.55,15657.7,122209,153622
serial,serial,400000,25,42,10,200,4,1506.15,7530.75,122209,153622
serial,serial,400000,25,42,10,200,8,957.916,4789.58,122209,153622
serial,serial,400000,25,42,10,200,16,735.32,3676.6,122209,153622
serial,local-heaps,400000,25,42,10,200,1,6239.15,31195.7,122210,153622
serial,local-heaps,400000,25,42,10,200,2,9658.89,48294.4,242561,90353.3
serial,local-heaps,400000,25,42,10,200,4,6815.04,34075.2,313827,54804
serial,local-heaps,400000,25,42,10,200,8,4827.83,24139.2,348816,36974.5
serial,local-heaps,400000,25,42,10,200,16,3949.2,19746,370907,24141.5
serial,atomic-global,400000,25,42,10,200,1,6439.87,32199.4,122210,153622
serial,atomic-global,400000,25,42,10,200,2,4141.43,20707.2,125200,155437
serial,atomic-global,400000,25,42,10,200,4,2694.39,13471.9,126343,157650
serial,atomic-global,400000,25,42,10,200,8,2141.04,10705.2,129913,160154
serial,atomic-global,400000,25,42,10,200,16,1759.64,8798.2,132406,159623
serial,serial,400000,50,42,10,1,1,143.198,143198,399660,0
serial,serial,400000,50,42,10,1,2,137.319,137319,399660,0
serial,serial,400000,50,42,10,1,4,156.791,156791,399660,0
